Type,Sub Type,Temperature,ID,Max Frequency,Mean Frequency,Centroid,Thermal Damage
Heated,,500,40988,1.763819095477387,13.5,7.389624919456202,0.71084511643566
Heated,,500,40989,1.763819095477387,13.5,7.3916241759295875,0.7097372443330678
Heated,,500,40990,1.763819095477387,13.5,7.3929208644044255,0.7119508702359527
Heated,,500,40991,1.763819095477387,13.5,7.395056245471652,0.71084511643566
Heated,,500,40992,1.763819095477387,13.5,7.405941669940512,0.7097372443330678
Heated,,500,40993,1.763819095477387,13.5,7.400152155239907,0.71084511643566
Heated,,500,40994,1.492462311557789,13.5,7.517687386825399,0.6164781250411724
Heated,,500,40995,1.492462311557789,13.5,7.363821457103807,0.6055667498969044
Heated,,500,40996,1.492462311557789,13.5,7.334052086781378,0.612964722086758
Heated,,500,40997,1.492462311557789,13.5,7.31771124717813,0.6183877745640918
Heated,,500,40998,1.492462311557789,13.5,7.3280436191868885,0.612964722086758
Heated,,500,40999,1.492462311557789,13.5,7.325316029905092,0.6164781250411724
Heated,,500,41000,1.492462311557789,13.5,7.327078120494194,0.6055667498969044
Heated,,500,41001,1.492462311557789,13.5,7.350749474480892,0.6183877745640918
Heated,,500,41002,1.492462311557789,13.5,7.3841804303759595,0.6164781250411724
Heated,,500,41003,1.492462311557789,13.5,7.3883032119157726,0.6164781250411724
Heated,,500,41004,1.763819095477387,13.5,7.638513261748318,0.7119508702359527
Heated,,500,41005,1.763819095477387,13.5,7.450400056082451,0.7155299405616489
Heated,,500,41006,1.763819095477387,13.5,7.456607546818613,0.7223498810115506
Heated,,500,41007,1.763819095477387,13.5,7.410518848250863,0.7201765028523546
Heated,,500,41008,1.763819095477387,13.5,7.362982314657555,0.7155299405616489
Heated,,500,41009,1.763819095477387,13.5,7.277192532457538,0.7188138387013114
Heated,,500,41010,1.763819095477387,13.5,7.229811779553807,0.7155299405616489
Heated,,500,41011,1.763819095477387,13.5,7.182962685505078,0.7155299405616489
Heated,,500,41012,1.763819095477387,13.5,7.172774933996271,0.7155299405616489
Heated,,500,41013,1.763819095477387,13.5,7.175389115582396,0.7177213242903899
Heated,,750,42096,1.763819095477387,13.5,7.159145607048085,0.4850856587400074
Heated,,750,42097,1.763819095477387,13.5,7.0656568207912285,0.4850856587400074
Heated,,750,42098,1.763819095477387,13.5,7.055847830265344,0.4850856587400074
Heated,,750,42099,1.763819095477387,13.5,7.052502506384548,0.476557969455099
Heated,,750,42100,1.763819095477387,13.5,6.989396561435928,0.5997281791841517
Heated,,750,42101,1.763819095477387,13.5,6.9678262326905145,0.6087918651477582
Heated,,750,42102,1.763819095477387,13.5,7.009356224075032,0.6013543071836843
Heated,,750,42103,1.763819095477387,13.5,7.064235048281385,0.6033012917846308
Heated,,750,42104,1.763819095477387,13.5,7.15342138405816,0.5997281791841517
Heated,,750,42105,1.763819095477387,13.5,7.169250958263278,0.6013543071836843
Heated,,750,42106,1.492462311557789,13.5,5.767220332981829,0.770245688955445
Heated,,750,42107,1.492462311557789,13.5,5.696647595770072,0.7687634069214319
Heated,,750,42108,1.492462311557789,13.5,5.675594794574589,0.7862362234381267
Heated,,750,42109,1.492462311557789,13.5,5.402333307368899,0.7876613113100557
Heated,,750,42110,1.492462311557789,13.5,5.921114191921156,0.5782873190820313
Heated,,750,42111,1.492462311557789,13.5,6.158295746640611,0.5762799628655517
Heated,,750,42112,1.492462311557789,13.5,6.026261555003079,0.5782873190820313
Heated,,750,42113,1.492462311557789,13.5,6.044709278434735,0.5802899091183373
Heated,,750,42114,1.492462311557789,13.5,6.10473633994392,0.5882526074618247
Heated,,750,42115,1.492462311557789,13.5,6.169188252168095,0.5922053595525265
Heated,,1000,42116,1.763819095477387,13.5,7.586360829288229,0.9013108775513509
Heated,,1000,42117,1.763819095477387,13.5,7.533864916772354,0.9014724642986278
Heated,,1000,42118,1.763819095477387,13.5,7.531399619107737,0.9013108775513509
Heated,,1000,42119,1.763819095477387,13.5,7.5301807015368665,0.9013108775513509
Heated,,1000,42120,1.763819095477387,13.5,7.529795774987576,0.9013108775513509
Heated,,1000,42121,1.763819095477387,13.5,7.525556556818706,0.9013108775513509
Heated,,1000,42122,1.763819095477387,13.5,7.5247043633295165,0.9014724642986278
Heated,,1000,42123,1.763819095477387,13.5,7.524325953065129,0.9014724642986278
Heated,,1000,42124,1.763819095477387,13.5,7.523950995486894,0.9013108775513509
Heated,,1000,42125,1.763819095477387,13.5,7.52353247829572,0.9014724642986278
Heated,,1000,42126,1.763819095477387,13.5,7.6424494631398705,0.8202154472443568
Heated,,1000,42127,1.763819095477387,13.5,7.684016937938533,0.820651552730248
Heated,,1000,42128,1.763819095477387,13.5,7.684162702305101,0.8184657295450429
Heated,,1000,42129,1.763819095477387,13.5,7.7075211563782196,0.8581203485900242
Heated,,1000,42130,1.763819095477387,13.5,7.657058343356279,0.8173678531814261
Heated,,1000,42131,1.763819095477387,13.5,7.671641171534526,0.817807400908554
Heated,,1000,42132,1.763819095477387,13.5,7.687012366983762,0.8184657295450429
